Successful requests,Benchmark duration (s),Total input tokens,Total generated tokens,Request throughput (req/s),Output token throughput (tok/s),Total Token throughput (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
300,320.72,275327,45000,0.94,140.31,998.78,4545.25,4340.05,9869.74,380.74,410.72,457.75,380.73,403.57,527.44
600,583.64,550697,90000,1.03,154.21,1097.77,129730.98,126742.43,255848.73,436.59,451.72,457.25,436.58,449.75,532.71
900,871.26,826091,135000,1.03,154.95,1103.1,272106.88,274705.84,541038.6,444.17,454.46,463.07,444.15,451.46,556.39
1200,1148.44,1101815,180000,1.04,156.73,1116.14,411195.28,409257.06,813469.57,443.72,449.89,462.32,443.71,449.12,543.23
1500,1438.26,1377339,225000,1.04,156.44,1114.08,556285.38,558470.08,1094240.38,447.58,453.54,466.19,447.56,452.16,549.88
