Successful requests,Benchmark duration (s),Total input tokens,Total generated tokens,Request throughput (req/s),Output token throughput (tok/s),Total Token throughput (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1,8.77,10000,107,0.11,12.20,1151.94,3799.42,3799.42,3799.42,46.91,46.91,46.91,46.48,46.05,55.15
2,13.57,20000,224,0.15,16.50,1489.82,5621.78,5621.78,7445.37,70.34,70.34,87.83,68.92,52.19,60.91
4,22.18,40000,478,0.18,21.55,1825.14,11647.23,14277.62,14278.87,86.16,61.56,158.26,82.80,61.18,66.23
8,36.63,80000,929,0.22,25.36,2209.25,24859.35,27872.81,27875.93,96.49,68.09,280.28,93.34,68.09,72.46
16,66.76,160000,1887,0.24,28.26,2424.82,44265.73,44839.76,55473.22,183.56,175.09,482.85,181.51,88.03,97.12
32,128.36,320000,3837,0.25,29.89,2522.88,73973.36,86848.08,111819.27,451.72,364.31,939.28,440.78,128.65,16034.43
64,244.17,640000,7633,0.26,31.26,2652.37,130946.77,128105.04,232984.78,839.05,872.45,1706.69,832.52,110.73,30768.49
