Successful requests,Benchmark duration (s),Total input tokens,Total generated tokens,Request throughput (req/s),Output token throughput (tok/s),Total Token throughput (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1,20.85,10000,122,0.05,5.85,485.58,12286.18,12286.18,12286.18,70.72,70.72,70.72,70.05,66.38,135.38
2,32.74,20000,240,0.06,7.33,618.16,18380.39,18380.39,24347.43,115.44,115.44,159.29,115.62,68.06,735.56
4,57.08,40000,472,0.07,8.27,708.98,30569.56,30592.80,48443.75,211.95,204.20,365.11,208.55,69.64,802.75
8,108.42,80000,998,0.07,9.20,747.08,55713.23,55457.44,98729.96,379.62,390.73,630.59,369.69,481.72,805.01
16,206.97,160000,1923,0.08,9.29,782.36,105158.97,105258.72,196528.90,512.55,625.75,640.51,507.65,602.16,903.33
32,402.15,320000,3684,0.08,9.16,804.89,202961.69,203092.99,389607.62,563.16,622.15,630.65,556.22,602.21,805.55
64,792.10,640000,7257,0.08,9.16,817.14,399467.18,400486.56,776547.49,588.74,619.06,628.87,582.10,602.62,835.49
