GPU,backend,dataset_name,request_rate,max_concurrency,sharegpt_output_len,random_input_len,random_output_len,random_range_ratio,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,request_throughput,input_throughput,output_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,std_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,concurrency,,
mi300x,sglang,random,,32,,3200,800,1,877.5354637,500,1600000,400000,398413,0.569777543,1823.288136,455.822034,55037.81219,55475.10795,1770.385192,56171.89535,7397.84833,7589.84577,3751.7276,13243.63199,59.62448543,59.42819287,4.945599278,68.4413146,59.62627075,52.68310301,238.6851227,56.69529269,31.35930938,,
mi300x,sglang,random,,64,,3200,800,1,653.232133,500,1600000,400000,398394,0.765424686,2449.358994,612.3397485,81796.71108,82642.17732,2251.384393,83261.84587,13925.27274,13916.91537,7735.45983,26733.49274,84.94547977,84.53185921,9.800770864,102.2972732,84.94802595,69.71881905,507.4551177,74.8004226,62.60922186,,
mi300x,sglang,random,,128,,3200,800,1,542.6540127,500,1600000,400000,398268,0.921397407,2948.471701,737.1179253,135758.5973,137201.1781,2626.240866,137504.2185,27308.81256,27298.95982,15439.51897,53426.27793,135.7318958,135.9294804,19.35030366,169.9345582,135.7359672,104.6366115,1035.874096,111.1290071,125.0876194,,
h200,vllm,random,,128,,3200,800,1,537.0692497,500,1600000,400000,398409,0.930978641,2979.13165,744.7829125,124226.6137,137021.6665,23283.48272,144929.2981,66811.62239,82797.85175,27346.44481,88937.0968,71.85856239,66.85374147,16.85343088,142.3849326,72.11145086,65.214879,486.3778031,104.7374548,115.652324,,
h200,vllm,random,,64,,3200,800,1,527.4412847,500,1600000,400000,398440,0.947972816,3033.513012,758.3782529,66592.9405,66273.24846,3504.958503,82171.39273,14164.37107,14419.03863,2815.453614,16084.03625,65.61773396,64.41520109,6.334988101,97.07838493,65.84056587,63.24460101,141.1649338,71.58542553,63.12829734,,
h200,vllm,random,,32,,3200,800,1,779.9469047,500,1600000,400000,398563,0.641069279,2051.421693,512.8554233,48935.03013,49104.66174,1980.803726,51484.78435,7650.775142,7686.501789,874.8809428,9404.517406,51.66990612,51.99512878,1.486866589,52.81369704,51.82258268,51.958917,7.118341671,53.47455173,31.37074449,,
h200,vllm,random,,16,,3200,800,1,1360.237528,500,1600000,400000,398403,0.367582859,1176.26515,294.0662875,42999.90466,43141.55844,1937.934148,43719.56584,3368.606197,3388.584595,215.8550323,3418.156963,49.60112449,49.75211769,2.158014724,50.46934581,49.77001709,49.736687,6.181583089,50.84910806,15.80602791,,
h200,vllm,random,,8,,3200,800,1,1683.578366,500,1600000,400000,398347,0.296986472,950.3567119,237.589178,26759.18205,26799.38161,478.9413515,27218.40183,1765.745119,1771.826166,72.68659156,1835.67439,31.28089729,31.32708064,0.511048797,31.81854733,31.39399087,31.276644,3.617929402,32.2494846,7.947115084,,
h200,vllm,random,,4,,3200,800,1,2692.129782,500,1600000,400000,398495,0.185726559,594.3249879,148.581247,21533.89988,21535.97837,71.57016054,21926.76079,975.6508477,974.8834405,10.92518739,1030.92695,25.72997376,25.73463239,0.085917628,26.20253346,25.81790362,25.693134,2.696401004,26.45125985,3.999417121,,
h200,trt-llm,random,,4,,3200,800,1,5630.817355,500,1600000,400000,398200,0.088797055,284.1505769,71.03764423,45046.00979,45070.63509,162.7941012,45245.2426,1003.803258,1038.458569,85.91846174,1148.187548,55.12166024,55.11537776,0.232773447,55.51853127,58.22314546,54.883603,14.37126516,108.3886858,111.0614042,,
